t,light_x_history,light_z_history,light_xdot_history,light_zdot_history,neutral_x_history,neutral_z_history,neutral_xdot_history,neutral_zdot_history,heavy_x_history,heavy_z_history,heavy_xdot_history,heavy_zdot_history,light_x,light_z,light_xdot,light_zdot,neutral_x,neutral_z,neutral_xdot,neutral_zdot,heavy_x,heavy_z,heavy_xdot,heavy_zdot
0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0
0.005,0.005,0.005,0.6672544197036102,0.6672544197036102,0.005,0.005,0.8682546978215558,0.8682546978215558,0.005,0.005,0.9617094108349117,0.9617094108349117,0.004963047060615644,0.004963047060615644,0.9852553563261568,0.9852553563261568,0.004987394881963694,0.004987394881963694,0.994962227391956,0.994962227391956,0.004996558049216007,0.004996558049216007,0.9986235377274887,0.9986235377274887
0.01,0.007504408147777076,0.007504408147777076,0.5958927298108765,0.5958927298108765,0.009011910233661668,0.009011910233661668,0.8222398014702595,0.8222398014702595,0.009712820581261838,0.009712820581261838,0.9460046985105195,0.9460046985105195,0.00985291576271694,0.00985291576271694,0.9707281171636455,0.9707281171636455,0.00994966443677363,0.00994966443677363,0.9899498339022489,0.9899498339022489,0.009986238539445629,0.009986238539445629,0.9972489700993262,0.9972489700993262
0.015,0.010850017343773909,0.010850017343773909,0.5306430596193209,0.5306430596193209,0.013186677012274616,0.013186677012274616,0.7865009970978071,0.7865009970978071,0.014450636203088238,0.014450636203088238,0.93376490139578,0.93376490139578,0.014670685149267887,0.014670685149267887,0.9564150767995606,0.9564150767995606,0.014886935212946444,0.014886935212946444,0.9849626917040945,0.9849626917040945,0.014969050908268632,0.014969050908268632,0.9958762945156285,0.9958762945156285
0.02,0.013352841840769078,0.013352841840769078,0.4925283202013264,0.4925283202013264,0.017051243511788446,0.017051243511788446,0.7585785043885058,0.7585785043885058,0.019096079790633734,0.019096079790633734,0.923500364395189,0.923500364395189,0.0194174182617299,0.0194174182617299,0.942313077059626,0.942313077059626,0.01979933314778131,0.01979933314778131,0.9800006735880997,0.9800006735880997,0.019945004592123217,0.019945004592123217,0.9945055083768255,0.9945055083768255
0.025,0.015776727699008977,0.015776727699008977,0.45743779691351316,0.45743779691351316,0.02079061378458929,0.02079061378458929,0.7345200438986593,0.7345200438986593,0.023692035395346013,0.023692035395346013,0.9144343879810993,0.9144343879810993,0.024094162478299413,0.024094162478299413,0.9284190063033291,0.9284190063033291,0.024686983551496216,0.024686983551496216,0.9750636529782867,0.9750636529782867,0.024914109071215742,0.024914109071215742,0.9931366090712904,0.9931366090712904
0.03,0.017982490825628222,0.017982490825628222,0.43026161909050414,0.43026161909050414,0.024411117919981833,0.024411117919981833,0.7135171596121921,0.7135171596121921,0.028244039395438163,0.028244039395438163,0.9062382878417886,0.9062382878417886,0.028701949801268736,0.028701949801268736,0.9147297985702058,0.9147297985702058,0.029550011108872794,0.029550011108872794,0.9701515039304315,0.9701515039304315,0.029876373768025412,0.029876373768025412,0.9917695940032988,0.9917695940032988
0.035,0.020082346696241562,0.020082346696241562,0.44973428200306703,0.44973428200306703,0.027932562291083665,0.027932562291083665,0.7261948803240567,0.7261948803240567,0.03275655282653795,0.03275655282653795,0.9102237591044243,0.9102237591044243,0.03324179697129673,0.03324179697129673,0.9012424332403544,0.9012424332403544,0.034388539844240285,0.034388539844240285,0.9652641011674341,0.9652641011674341,0.03483180808683313,0.03483180808683313,0.9904044605821396,0.9904044605821396
0.04,0.02247688484840408,0.02247688484840408,0.41407121098518346,0.41407121098518346,0.03166539892156347,0.03166539892156347,0.7043530349167556,0.7043530349167556,0.03734301357397072,0.03734301357397072,0.9025309025064385,0.9025309025064385,0.03771470583274397,0.03771470583274397,0.8879539339490673,0.8879539339490673,0.039202693176234364,0.039202693176234364,0.9604013200240057,0.9604013200240057,0.03978042146414037,0.03978042146414037,0.9890412062082257,0.9890412062082257
0.045,0.02434321711343019,0.02434321711343019,0.39882101973871564,0.39882101973871564,0.035060643719880734,0.035060643719880734,0.6883932407724963,0.6883932407724963,0.04181210609529832,0.04181210609529832,0.8957359676143337,0.8957359676143337,0.0421216632040898,0.0421216632040898,0.874861368971807,0.874861368971807,0.043992593893458366,0.043992593893458366,0.9555630364712542,0.9555630364712542,0.044722223238050134,0.044722223238050134,0.987679828309077,0.987679828309077
